X	CH1	CH2
-0.0012	-0.216	1.28
-0.001196	-0.248	1.76
-0.001192	-0.24	1.92
-0.001188	-0.192	1.84
-0.001184	-0.12	1.68
-0.00118	-0.024	1.2
-0.001176	0.072	0.4
-0.001172	0.168	-0.48
-0.001168	0.232	-1.12
-0.001164	0.264	-1.76
-0.00116	0.256	-2
-0.001156	0.232	-2
-0.001152	0.184	-1.84
-0.001148	0.0879	-1.44
-0.001144	-0.016	-0.8
-0.00114	-0.104	0.0799
-0.001136	-0.176	0.8
-0.001132	-0.232	1.44
-0.001128	-0.248	1.76
-0.001124	-0.224	1.92
-0.00112	-0.168	1.84
-0.001116	-0.0879	1.52
-0.001112	0	0.96
-0.001108	0.104	0.16
-0.001104	0.192	-0.72
-0.0011	0.24	-1.36
-0.001096	0.264	-1.76
-0.001092	0.264	-2
-0.001088	0.224	-2
-0.001084	0.144	-1.76
-0.00108	0.048	-1.36
-0.001076	-0.032	-0.56
-0.001072	-0.128	0.32
-0.001068	-0.208	1.04
-0.001064	-0.248	1.6
-0.00106	-0.24	1.84
-0.001056	-0.216	1.92
-0.001052	-0.152	1.84
-0.001048	-0.064	1.44
-0.001044	0.048	0.72
-0.00104	0.136	-0.16
-0.001036	0.208	-0.96
-0.001032	0.256	-1.52
-0.001028	0.28	-1.84
-0.001024	0.248	-2
-0.00102	0.192	-2
-0.001016	0.12	-1.76
-0.001012	0.024	-1.12
-0.001008	-0.0799	-0.24
-0.001004	-0.168	0.56
-0.001	-0.216	1.28
-0.000996	-0.24	1.76
-0.000992	-0.24	1.92
-0.000988	-0.2	1.84
-0.000984	-0.12	1.76
-0.00098	-0.024	1.2
-0.000976	0.072	0.4
-0.000972	0.16	-0.48
-0.000968	0.232	-1.2
-0.000964	0.264	-1.68
-0.00096	0.264	-1.92
-0.000956	0.232	-2
-0.000952	0.184	-1.92
-0.000948	0.096	-1.52
-0.000944	-0.008	-0.8
-0.00094	-0.104	0.0799
-0.000936	-0.176	0.8
-0.000932	-0.232	1.44
-0.000928	-0.248	1.84
-0.000924	-0.224	1.84
-0.00092	-0.168	1.84
-0.000916	-0.0879	1.52
-0.000912	0	0.96
-0.000908	0.112	0.0799
-0.000904	0.192	-0.72
-0.0009	0.24	-1.36
-0.000896	0.272	-1.84
-0.000892	0.264	-2
-0.000888	0.224	-2
-0.000884	0.144	-1.76
-0.00088	0.056	-1.28
-0.000876	-0.04	-0.56
-0.000872	-0.128	0.24
-0.000868	-0.2	1.04
-0.000864	-0.24	1.52
-0.00086	-0.248	1.84
-0.000856	-0.216	1.92
-0.000852	-0.136	1.76
-0.000848	-0.056	1.44
-0.000844	0.04	0.72
-0.00084	0.136	-0.16
-0.000836	0.224	-0.96
-0.000832	0.256	-1.52
-0.000828	0.264	-1.92
-0.000824	0.248	-2
-0.00082	0.208	-2
-0.000816	0.112	-1.68
-0.000812	0.016	-1.12
-0.000808	-0.064	-0.24
-0.000804	-0.152	0.56
-0.0008	-0.216	1.28
-0.000796	-0.248	1.76
-0.000792	-0.24	1.84
-0.000788	-0.192	1.84
-0.000784	-0.128	1.76
-0.00078	-0.016	1.2
-0.000776	0.072	0.4
-0.000772	0.16	-0.48
-0.000768	0.232	-1.12
-0.000764	0.264	-1.76
-0.00076	0.264	-2
-0.000756	0.232	-2
-0.000752	0.184	-1.92
-0.000748	0.0879	-1.52
-0.000744	-0.016	-0.8
-0.00074	-0.096	0.0799
-0.000736	-0.176	0.8
-0.000732	-0.24	1.44
-0.000728	-0.248	1.84
-0.000724	-0.216	1.92
-0.00072	-0.168	1.84
-0.000716	-0.096	1.6
-0.000712	0.016	0.96
-0.000708	0.104	0.16
-0.000704	0.184	-0.72
-0.0007	0.24	-1.36
-0.000696	0.272	-1.76
-0.000692	0.264	-2
-0.000688	0.216	-2
-0.000684	0.152	-1.76
-0.00068	0.064	-1.36
-0.000676	-0.048	-0.56
-0.000672	-0.128	0.32
-0.000668	-0.192	1.04
-0.000664	-0.248	1.6
-0.00066	-0.248	1.84
-0.000656	-0.208	1.92
-0.000652	-0.144	1.76
-0.000648	-0.064	1.44
-0.000644	0.048	0.64
-0.00064	0.136	-0.16
-0.000636	0.208	-0.88
-0.000632	0.256	-1.52
-0.000628	0.28	-1.84
-0.000624	0.24	-2
-0.00062	0.192	-1.92
-0.000616	0.12	-1.76
-0.000612	0.016	-1.12
-0.000608	-0.0799	-0.24
-0.000604	-0.152	0.56
-0.0006	-0.216	1.2
-0.000596	-0.248	1.76
-0.000592	-0.24	1.92
-0.000588	-0.192	1.84
-0.000584	-0.12	1.76
-0.00058	-0.016	1.2
-0.000576	0.0799	0.4
-0.000572	0.168	-0.4
-0.000568	0.224	-1.2
-0.000564	0.272	-1.76
-0.00056	0.272	-2
-0.000556	0.232	-2
-0.000552	0.176	-1.92
-0.000548	0.096	-1.52
-0.000544	-0.008	-0.8
-0.00054	-0.104	0.0799
-0.000536	-0.176	0.8
-0.000532	-0.232	1.44
-0.000528	-0.248	1.76
-0.000524	-0.224	1.92
-0.00052	-0.168	1.84
-0.000516	-0.096	1.6
-0.000512	0	0.96
-0.000508	0.104	0.16
-0.000504	0.184	-0.72
-0.0005	0.248	-1.36
-0.000496	0.272	-1.76
-0.000492	0.256	-2
-0.000488	0.216	-2
-0.000484	0.152	-1.76
-0.00048	0.056	-1.36
-0.000476	-0.048	-0.48
-0.000472	-0.128	0.32
-0.000468	-0.2	1.04
-0.000464	-0.248	1.6
-0.00046	-0.24	1.84
-0.000456	-0.208	1.84
-0.000452	-0.136	1.84
-0.000448	-0.048	1.36
-0.000444	0.04	0.64
-0.00044	0.136	-0.16
-0.000436	0.208	-0.96
-0.000432	0.264	-1.52
-0.000428	0.272	-2
-0.000424	0.248	-2
-0.00042	0.208	-2
-0.000416	0.112	-1.76
-0.000412	0.008	-1.12
-0.000408	-0.064	-0.24
-0.000404	-0.152	0.56
-0.0004	-0.224	1.2
-0.000396	-0.24	1.68
-0.000392	-0.24	1.92
-0.000388	-0.2	1.92
-0.000384	-0.12	1.76
-0.00038	-0.024	1.2
-0.000376	0.072	0.4
-0.000372	0.152	-0.48
-0.000368	0.232	-1.2
-0.000364	0.256	-1.76
-0.00036	0.264	-2
-0.000356	0.24	-2
-0.000352	0.168	-1.84
-0.000348	0.096	-1.52
-0.000344	-0.008	-0.8
-0.00034	-0.104	0
-0.000336	-0.184	0.8
-0.000332	-0.224	1.44
-0.000328	-0.248	1.84
-0.000324	-0.224	1.92
-0.00032	-0.16	1.84
-0.000316	-0.0879	1.52
-0.000312	0	1.04
-0.000308	0.112	0.16
-0.000304	0.192	-0.72
-0.0003	0.24	-1.36
-0.000296	0.272	-1.84
-0.000292	0.256	-2
-0.000288	0.216	-2
-0.000284	0.152	-1.76
-0.00028	0.056	-1.36
-0.000276	-0.056	-0.56
-0.000272	-0.128	0.4
-0.000268	-0.2	1.04
-0.000264	-0.248	1.52
-0.00026	-0.24	1.84
-0.000256	-0.208	1.92
-0.000252	-0.144	1.84
-0.000248	-0.056	1.36
-0.000244	0.032	0.72
-0.00024	0.128	-0.16
-0.000236	0.216	-0.88
-0.000232	0.256	-1.44
-0.000228	0.264	-1.92
-0.000224	0.256	-2
-0.00022	0.2	-2
-0.000216	0.104	-1.68
-0.000212	0.024	-1.12
-0.000208	-0.072	-0.24
-0.000204	-0.16	0.56
-0.0002	-0.208	1.2
